https://www.plussark.no,2025-11-23 12:55:28,WordPress
https://www.plussark.no/project/slottsfjellmuseet,173,"Slottsfjellsmuseet | Plussark Om +ARK Prosjekter Kontakt Velg en side Om +ARK Prosjekter Kontakt Slottsfjellsmuseet Referanseprosjekt Slottsfjellsmuseet Tønsberg Nybygg og ombygging museum, 750 m2 + 2800 m2. Planlagt og gjennomført 2008-2010. Oppdragsansvarlig arkitekt for AS Kristiansen & Bernhardt. Den nye bebyggelsen er gitt et moderne uttrykk i forhold til den eksisterende bebyggelsen fra 1950, -60 og -70-tallet. Hovedhensikten med prosjektet var å gi rom for en fysisk omdisponering av de eksisterende museumsbygningene og etablering av en innendørs forbindelse mellom alle bygg. Dette er løste ved å etablere et nytt bygg som binder midtfløyen og nordfløyen sammen, inkludert en videre forbindelse til Klåstadhallen. Ny hovedinngang er plassert i det nye mellombygget, noe som også understreker forbindelsen videre opp til Slottsfjellet. Det er lagt vekt på at det skal bli lettere å oppfatte museet i bybildet. Dette er tenkt ved et markant inngangparti og ved å lage et «utstillingsvindu» inn til hvalskjellettene, som er enestående i verden og kanskje er de mest spektakulære utstillingsobjektene museet har. Telefon +47 928 60 390 Epost vidar@plussark.no Villa Møllebakken, St Olavs gate 6, 3126 Tønsberg Postboks 1307, 3105 Tønsberg Designet av Elegant Themes | Drevet med WordPress"
https://www.plussark.no,165,"Plussark | Robust og bærekraftig arkitektur Om +ARK Prosjekter Kontakt Velg en side Om +ARK Prosjekter Kontakt NATURLIG ROBUST BÆREKRAFTIG SOLID RENT HELHET DETALJERT KVALITET ForrigeNeste12345678 Robust og bærekraftig arkitektur i dag og i morgen Midt i Tønsberg sentrum finner du mitt lille arkitektkontor +ARK. Med lang erfaring og høy kompetanse jobber jeg effektivt og løsningsorientert med små og store prosjekter hver dag. Mine kunder kommer oftest fra Vestfold, men jeg gjør oppdrag for kunder i hele landet hvis det skulle passe. Det å finne gode løsninger som både ivaretar god arkitektur og økonomi er en utfordring jeg liker å jobbe med. Det som er naturlig, godt stedstilpasset og bærekraftig får i tillegg mitt hjerte til å slå litt ekstra. Alle prosjekter starter et sted, samme hvor store de er. Det kan starte med en kopp kaffe, en telefon eller en befaring. Den første timen spanderer jeg. Ta kontakt i dag for en uforpliktende prat! Kontakt oss i dag! Telefon +47 928 60 390 Epost vidar@plussark.no Villa Møllebakken, St Olavs gate 6, 3126 Tønsberg Postboks 1307, 3105 Tønsberg Designet av Elegant Themes | Drevet med WordPress"
https://www.plussark.no/,165,"Plussark | Robust og bærekraftig arkitektur Om +ARK Prosjekter Kontakt Velg en side Om +ARK Prosjekter Kontakt NATURLIG ROBUST BÆREKRAFTIG SOLID RENT HELHET DETALJERT KVALITET ForrigeNeste12345678 Robust og bærekraftig arkitektur i dag og i morgen Midt i Tønsberg sentrum finner du mitt lille arkitektkontor +ARK. Med lang erfaring og høy kompetanse jobber jeg effektivt og løsningsorientert med små og store prosjekter hver dag. Mine kunder kommer oftest fra Vestfold, men jeg gjør oppdrag for kunder i hele landet hvis det skulle passe. Det å finne gode løsninger som både ivaretar god arkitektur og økonomi er en utfordring jeg liker å jobbe med. Det som er naturlig, godt stedstilpasset og bærekraftig får i tillegg mitt hjerte til å slå litt ekstra. Alle prosjekter starter et sted, samme hvor store de er. Det kan starte med en kopp kaffe, en telefon eller en befaring. Den første timen spanderer jeg. Ta kontakt i dag for en uforpliktende prat! Kontakt oss i dag! Telefon +47 928 60 390 Epost vidar@plussark.no Villa Møllebakken, St Olavs gate 6, 3126 Tønsberg Postboks 1307, 3105 Tønsberg Designet av Elegant Themes | Drevet med WordPress"
https://www.plussark.no/project/rekkevik-brygge,155,"Rekkevik Brygge | Plussark Om +ARK Prosjekter Kontakt Velg en side Om +ARK Prosjekter Kontakt Rekkevik Brygge Referanseprosjekt Rekkevik Brygge Larvik Nytt boligområde, 5 eneboliger og 28 leiligheter, 4200 m2. Planlagt og gjennomført 2005-2014. Oppdragsansvarlig arkitekt for AS Kristiansen & Bernhardt. Rekkevik Brygge er et boligprosjekt som ligger ca 4 km fra Larvik sentrum. Tomten er en del av den gamle «Rolighets Verft» som ligger mot sjøen og er sydvestvendt. Prosjektets plassering ga en unik mulighet med privat strandsone og båtplasser. Intensjonen var å tilføye området en særpreget bebyggelse som både respekterer det gamle sjøbodmiljøet og som bidrar til vår tids samtidsarkitektur. Bebyggelsen er i moderne, ren stil med bruk av store vindusflater, pusset mur og trevirke. Prosjektet består av 28 leiligheter delt på 2 hus og 5 eneboliger som fronter mot sjøen. Uteområdene bidrar til å gi området åpenhet og målestokk slik at bebyggelsen fremstår helhetlig med sitt maritime preg. Telefon +47 928 60 390 Epost vidar@plussark.no Villa Møllebakken, St Olavs gate 6, 3126 Tønsberg Postboks 1307, 3105 Tønsberg Designet av Elegant Themes | Drevet med WordPress"
https://www.plussark.no/kontakt-oss,75,"Kontakt oss | Plussark Om +ARK Prosjekter Kontakt Velg en side Om +ARK Prosjekter Kontakt KONTAKT OSS +ARK ASVilla Møllebakken, St. Olavs gate 6 3126 Tønsberg Postadresse: PB 1307 3105 Tønsberg Sivilarkitekt MNAL Vidar H. Kalmyren Bakke Mobil: 92 86 03 90 Epost: vidar@plussark.no Contact Us Navn * E-postadresse * Melding * reCAPTCHA Send Telefon +47 928 60 390 Epost vidar@plussark.no Villa Møllebakken, St Olavs gate 6, 3126 Tønsberg Postboks 1307, 3105 Tønsberg Designet av Elegant Themes | Drevet med WordPress"
https://www.plussark.no/?page_id=45,75,"Kontakt oss | Plussark Om +ARK Prosjekter Kontakt Velg en side Om +ARK Prosjekter Kontakt KONTAKT OSS +ARK ASVilla Møllebakken, St. Olavs gate 6 3126 Tønsberg Postadresse: PB 1307 3105 Tønsberg Sivilarkitekt MNAL Vidar H. Kalmyren Bakke Mobil: 92 86 03 90 Epost: vidar@plussark.no Contact Us Navn * E-postadresse * Melding * reCAPTCHA Send Telefon +47 928 60 390 Epost vidar@plussark.no Villa Møllebakken, St Olavs gate 6, 3126 Tønsberg Postboks 1307, 3105 Tønsberg Designet av Elegant Themes | Drevet med WordPress"
https://www.plussark.no/prosjekter,63,"Prosjekter | Plussark Om +ARK Prosjekter Kontakt Velg en side Om +ARK Prosjekter Kontakt PROSJEKTER Nordbyen 32 Hytte Sjøløvehytta Karlsvikveien 24 Dronning Blancas gate 15 Hellesmoveien 48 Hytte Skärjedalen BOLIG S10 BOLIG S4 Fjellsjå Rekkevik Brygge Slottsfjellsmuseet Re Kommunehus Borre Prestegård Sandefjord Stadion Telefon +47 928 60 390 Epost vidar@plussark.no Villa Møllebakken, St Olavs gate 6, 3126 Tønsberg Postboks 1307, 3105 Tønsberg Designet av Elegant Themes | Drevet med WordPress"
https://www.plussark.no/project/sandefjord-stadion,62,"Sandefjord Stadion | Plussark Om +ARK Prosjekter Kontakt Velg en side Om +ARK Prosjekter Kontakt Sandefjord Stadion Referanseprosjekt Sandefjord Stadion – Komplett.noArena Sandefjord Nytt fotballstadion og næringssenter, 8200 m2. Planlagt og gjennomført 2006-2007. Oppdragsansvarlig arkitekt for AS Kristiansen & Bernhardt. Telefon +47 928 60 390 Epost vidar@plussark.no Villa Møllebakken, St Olavs gate 6, 3126 Tønsberg Postboks 1307, 3105 Tønsberg Designet av Elegant Themes | Drevet med WordPress"
https://www.plussark.no/project/borre-prestegard,56,"Borre Prestegård | Plussark Om +ARK Prosjekter Kontakt Velg en side Om +ARK Prosjekter Kontakt Borre Prestegård Referanseprosjekt Borre Prestegård Borre Rehabilitering av fredet bolig. Planlagt og gjennomført 2007-2010. Oppdragsansvarlig arkitekt for AS Kristiansen & Bernhardt. Telefon +47 928 60 390 Epost vidar@plussark.no Villa Møllebakken, St Olavs gate 6, 3126 Tønsberg Postboks 1307, 3105 Tønsberg Designet av Elegant Themes | Drevet med WordPress"
https://www.plussark.no/project/fjellsja,43,"Fjellsjå | Plussark Om +ARK Prosjekter Kontakt Velg en side Om +ARK Prosjekter Kontakt Fjellsjå Hytte Fjellsjå Lifjell Planlagt og gjennomført 2000-2014. Telefon +47 928 60 390 Epost vidar@plussark.no Villa Møllebakken, St Olavs gate 6, 3126 Tønsberg Postboks 1307, 3105 Tønsberg Designet av Elegant Themes | Drevet med WordPress"
